SWPROT,Gene,description,AverageFC_Vehicle,AverageFC_LPSLPS,LPSLPS_Log2FC,pvalue_ttest1
Q9P0P0,RNF181,E3 ubiquitin-protein ligase RNF181,19.0125,18.73,-0.2825,0.018862001
Q9UKX7,NUP50,Nuclear pore complex protein Nup50,22.885,22.755,-0.13,0.018812854
O95881,TXNDC12,Thioredoxin domain-containing protein 12,22.4075,22.165,-0.2425,0.018786564
O95905,ECD,Protein ecdysoneless homolog,19.645,19.45,-0.195,0.018752724
P23526,AHCY,Adenosylhomocysteinase,24.175,23.98,-0.195,0.018752724
P21964,COMT,Catechol O-methyltransferase,23.3525,23.1925,-0.16,0.018743097
Q9BUL8,PDCD10,Programmed cell death protein 10,22.4225,22.2625,-0.16,0.018743097
P30260,CDC27,Cell division cycle protein 27 homolog,19.6025,19.3975,-0.205,0.018731413
Q96JG6,VPS50,Syndetin,19.5625,19.375,-0.1875,0.018709645
Q9P107,GMIP,GEM-interacting protein,22.8475,22.675,-0.1725,0.018696378
P50135,HNMT,Histamine N-methyltransferase,21.395,21.2225,-0.1725,0.018696378
P56556,NDUFA6,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6,21.58,21.32,-0.26,0.018677612
Q13405,MRPL49,"39S ribosomal protein L49, mitochondrial",20.7725,20.5,-0.2725,0.018672937
Q6PCB8,EMB,Embigin,19.6625,19.46,-0.2025,0.018664368
P63218,GNG5,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-5,20.315,20.03,-0.285,0.018656192
O43488,AKR7A2,Aflatoxin B1 aldehyde reductase member 2,23.37,23.1075,-0.2625,0.018646003
Q99836,MYD88,Myeloid differentiation primary response protein MyD88,20.5925,20.3575,-0.235,0.018633389
Q9Y4K4,MAP4K5,Mitogen-activated protein kinase kinase kinase kinase 5,17.7175,17.6025,-0.115,0.018619636
Q92783,STAM,Signal transducing adapter molecule 1,20.5025,20.3275,-0.175,0.018612873
O60884,DNAJA2,DnaJ homolog subfamily A member 2,23.03,22.8975,-0.1325,0.018578598
P60900,PSMA6,Proteasome subunit alpha type-6,24.32,24.1075,-0.2125,0.018568525
P21127,CDK11B,Cyclin-dependent kinase 11B,22.57,22.3725,-0.1975,0.018554278
O75489,NDUFS3,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial",22.47,22.2725,-0.1975,0.018554278
Q9NXW2,DNAJB12,DnaJ homolog subfamily B member 12,20.9325,20.64,-0.2925,0.018539224
Q9NP79,VTA1,Vacuolar protein sorting-associated protein VTA1 homolog,22.2025,22.0075,-0.195,0.01851257
P63104,YWHAZ,14-3-3 protein zeta/delta,26.51,26.2325,-0.2775,0.018482614
P27449,ATP6V0C,V-type proton ATPase 16 kDa proteolipid subunit,20.805,20.395,-0.41,0.018459897
P51957,NEK4,Serine/threonine-protein kinase Nek4,18.125,17.88,-0.245,0.018442665
Q92575,UBXN4,UBX domain-containing protein 4,20.73,20.5275,-0.2025,0.018441855
Q9UJF2,RASAL2,Ras GTPase-activating protein nGAP,19.7475,19.2225,-0.525,0.018414327
P61081,UBE2M,NEDD8-conjugating enzyme Ubc12,20.44,20.2475,-0.1925,0.018398755
Q9H2V7,SPNS1,Protein spinster homolog 1,17.4425,17.185,-0.2575,0.018396091
Q9NX24,NHP2,H/ACA ribonucleoprotein complex subunit 2,21.545,21.3275,-0.2175,0.018390863
Q96KQ7,EHMT2,Histone-lysine N-methyltransferase EHMT2,18.9575,18.785,-0.1725,0.018389771
O95861,BPNT1,"3'(2'),5'-bisphosphate nucleotidase 1",21.55,21.3775,-0.1725,0.018389771
Q9Y6D6,ARFGEF1,Brefeldin A-inhibited guanine nucleotide-exchange protein 1,22.9525,22.7925,-0.16,0.018386632
Q8IWX8,CHERP,Calcium homeostasis endoplasmic reticulum protein,21.9575,21.7875,-0.17,0.018379246
Q969G3,SMARCE1,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1,21.1675,21.04,-0.1275,0.018344235
P14927,UQCRB,Cytochrome b-c1 complex subunit 7,22.5375,22.3825,-0.155,0.018313351
P42285,SKIV2L2,Superkiller viralicidic activity 2-like 2,22.9125,22.665,-0.2475,0.018219855
Q2M2I8,AAK1,AP2-associated protein kinase 1,21.5525,21.3625,-0.19,0.018207417
Q9BT78,COPS4,COP9 signalosome complex subunit 4,22.615,22.465,-0.15,0.018174963
Q10471,GALNT2,Polypeptide N-acetylgalactosaminyltransferase 2,20.6675,20.3475,-0.32,0.018120148
P51610,HCFC1,Host cell factor 1,23.235,23.095,-0.14,0.018111097
Q6FI81,CIAPIN1,Anamorsin,21.46,21.1575,-0.3025,0.018104609
O95391,SLU7,Pre-mRNA-splicing factor SLU7,20.785,20.6,-0.185,0.018098574
Q14155,ARHGEF7,Rho guanine nucleotide exchange factor 7,21.1375,20.9,-0.2375,0.018086609
Q9Y3Z3,SAMHD1,Deoxynucleoside triphosphate triphosphohydrolase SAMHD1,26.3975,26.1925,-0.205,0.018081055
P61225,RAP2B,Ras-related protein Rap-2b,21.26,21.16,-0.1,0.018074034
Q9H223,EHD4,EH domain-containing protein 4,23.6675,23.42,-0.2475,0.018071533
P05231,IL6,Interleukin-6,16.9225,18.6175,1.695,0.018065605
Q9NQ50,MRPL40,"39S ribosomal protein L40, mitochondrial",19.5375,19.3775,-0.16,0.018031487
P09382,LGALS1,Galectin-1,26.515,26.355,-0.16,0.018031487
P98196,ATP11A,Probable phospholipid-transporting ATPase IH,20.46,20.2375,-0.2225,0.018020523
Q9P2R3,ANKFY1,Rabankyrin-5,22.45,22.275,-0.175,0.018018466
Q08211,DHX9,ATP-dependent RNA helicase A,25.2775,25.06,-0.2175,0.018006528
P16989,YBX3,Y-box-binding protein 3,20.825,20.485,-0.34,0.017986115
Q15691,MAPRE1,Microtubule-associated protein RP/EB family member 1,24.6475,24.39,-0.2575,0.017984821
Q9UJU6,DBNL,Drebrin-like protein,23.5425,23.3525,-0.19,0.017955909
P42768,WAS,Wiskott-Aldrich syndrome protein,22.84,22.65,-0.19,0.017955909
P78324,SIRPA,Tyrosine-protein phosphatase non-receptor type substrate 1,22.395,21.7375,-0.6575,0.017951221
Q99986,VRK1,Serine/threonine-protein kinase VRK1,22.5175,22.3625,-0.155,0.017935263
Q0VD83,APOBR,Apolipoprotein B receptor,24.9,24.6925,-0.2075,0.017889321
Q86WR0,CCDC25,Coiled-coil domain-containing protein 25,19.245,18.985,-0.26,0.01787012
P34932,HSPA4,Heat shock 70 kDa protein 4,25.1625,24.945,-0.2175,0.017814952
Q9BVC4,MLST8,Target of rapamycin complex subunit LST8,17.7075,17.58,-0.1275,0.017785819
P09012,SNRPA,U1 small nuclear ribonucleoprotein A,23.595,23.3525,-0.2425,0.017703964
P51398,DAP3,"28S ribosomal protein S29, mitochondrial",20.0825,19.84,-0.2425,0.017703964
Q7Z392,TRAPPC11,Trafficking protein particle complex subunit 11,21.385,21.225,-0.16,0.017677689
Q14204,DYNC1H1,Cytoplasmic dynein 1 heavy chain 1,26.615,26.455,-0.16,0.017677689
P53602,MVD,Diphosphomevalonate decarboxylase,19.305,19.1125,-0.1925,0.017664111
P80303,NUCB2,Nucleobindin-2,23.0475,22.9075,-0.14,0.017648868
P52657,GTF2A2,Transcription initiation factor IIA subunit 2,19.77,19.56,-0.21,0.017648868
P21283,ATP6V1C1,V-type proton ATPase subunit C 1,23.885,23.675,-0.21,0.017648868
P37108,SRP14,Signal recognition particle 14 kDa protein,22.455,22.18,-0.275,0.017632409
Q9H8S9,MOB1A,MOB kinase activator 1A,22.5575,22.39,-0.1675,0.017629561
P15586,GNS,N-acetylglucosamine-6-sulfatase,22.8,22.4975,-0.3025,0.017609702
O94776,MTA2,Metastasis-associated protein MTA2,23.6325,23.395,-0.2375,0.017604944
P17174,GOT1,"Aspartate aminotransferase, cytoplasmic",21.9525,21.6325,-0.32,0.017589454
Q13315,ATM,Serine-protein kinase ATM,22.4025,22.225,-0.1775,0.017587792
P55769,SNU13,NHP2-like protein 1,21.7875,21.575,-0.2125,0.017563397
Q16186,ADRM1,Proteasomal ubiquitin receptor ADRM1,21.5375,21.3425,-0.195,0.017557975
P13639,EEF2,Elongation factor 2,27.6475,27.3025,-0.345,0.017551692
Q9UKF6,CPSF3,Cleavage and polyadenylation specificity factor subunit 3,21.04,20.9075,-0.1325,0.017544538
P24752,ACAT1,"Acetyl-CoA acetyltransferase, mitochondrial",23.5125,23.38,-0.1325,0.017544538
P63313,TMSB10,Thymosin beta-10,24.64,24.1825,-0.4575,0.017522571
P50570,DNM2,Dynamin-2,24.0525,23.9,-0.1525,0.017522571
P20591,MX1,Interferon-induced GTP-binding protein Mx1,23.865,23.5225,-0.3425,0.017506798
Q13126,MTAP,S-methyl-5'-thioadenosine phosphorylase,22.395,22.2475,-0.1475,0.017505406
Q5TDH0,DDI2,Protein DDI1 homolog 2,21.14,20.815,-0.325,0.017501014
P14735,IDE,Insulin-degrading enzyme,21.9575,21.7875,-0.17,0.017438527
Q9P2T1,GMPR2,GMP reductase 2,21.2425,21.0375,-0.205,0.017435186
P51151,RAB9A,Ras-related protein Rab-9A,19.7025,19.4975,-0.205,0.017435186
Q9HAN9,NMNAT1,Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 1,20.91,20.695,-0.215,0.017426717
P99999,CYCS,Cytochrome c,21.89,21.585,-0.305,0.017425617
O43314,PPIP5K2,Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2,21.5275,21.3275,-0.2,0.017395643
Q9UNM6,PSMD13,26S proteasome non-ATPase regulatory subunit 13,24.1125,23.915,-0.1975,0.017391853
Q9NQR4,NIT2,Omega-amidase NIT2,22.395,22.2725,-0.1225,0.017385792
Q13043,STK4,Serine/threonine-protein kinase 4,24,23.82,-0.18,0.017381738
P00505,GOT2,"Aspartate aminotransferase, mitochondrial",23.46,23.3675,-0.0925,0.017306004
P48201,ATP5G3,"ATP synthase F(0) complex subunit C3, mitochondrial",24.185,23.905,-0.28,0.01730374
P29401,TKT,Transketolase,27.59,27.4125,-0.1775,0.017301622
P25786,PSMA1,Proteasome subunit alpha type-1,24.025,23.8875,-0.1375,0.017274708
Q9NY93,DDX56,Probable ATP-dependent RNA helicase DDX56,19.4,19.15,-0.25,0.017242586
Q14974,KPNB1,Importin subunit beta-1,25.2525,25.0425,-0.21,0.017239975
P60228,EIF3E,Eukaryotic translation initiation factor 3 subunit E,23.07,22.815,-0.255,0.0172308
O15511,ARPC5,Actin-related protein 2/3 complex subunit 5,25.305,25.05,-0.255,0.0172308
P12270,TPR,Nucleoprotein TPR,24.24,24.085,-0.155,0.017183747
P45983,MAPK8,Mitogen-activated protein kinase 8,19.995,19.7925,-0.2025,0.017117789
Q8IXQ6,PARP9,Poly [ADP-ribose] polymerase 9,21.295,20.9775,-0.3175,0.017106368
Q15942,ZYX,Zyxin,25.0275,24.65,-0.3775,0.017098702
Q14677,CLINT1,Clathrin interactor 1,22.085,21.9375,-0.1475,0.017091678
Q9NUJ1,ABHD10,"Mycophenolic acid acyl-glucuronide esterase, mitochondrial",22.21,22,-0.21,0.017036242
P10768,ESD,S-formylglutathione hydrolase,23.7825,23.65,-0.1325,0.017031895
Q9NPB8,GPCPD1,Glycerophosphocholine phosphodiesterase GPCPD1,21.545,21.22,-0.325,0.016990017
P49748,ACADVL,"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial",24.5175,24.285,-0.2325,0.016976126
O15372,EIF3H,Eukaryotic translation initiation factor 3 subunit H,23.5925,23.3125,-0.28,0.016959966
Q8NBN7,RDH13,Retinol dehydrogenase 13,17.355,17.155,-0.2,0.016946244
Q14919,DRAP1,Dr1-associated corepressor,19.66,19.4625,-0.1975,0.016931055
Q8NFD5,ARID1B,AT-rich interactive domain-containing protein 1B,18.2025,18.005,-0.1975,0.016931055
P07686,HEXB,Beta-hexosaminidase subunit beta,23.025,22.6425,-0.3825,0.016923968
P35606,COPB2,Coatomer subunit beta',24.5425,24.34,-0.2025,0.016899016
O60524,NEMF,Nuclear export mediator factor NEMF,20.865,20.745,-0.12,0.016896455
P43353,ALDH3B1,Aldehyde dehydrogenase family 3 member B1,20.3875,20.1925,-0.195,0.01684861
Q9UGI8,TES,Testin,23.675,23.5775,-0.0975,0.01684861
P11498,PC,"Pyruvate carboxylase, mitochondrial",18.7375,18.3625,-0.375,0.016843712
Q13247,SRSF6,Serine/arginine-rich splicing factor 6,22.87,22.615,-0.255,0.016816838
Q9Y606,PUS1,"tRNA pseudouridine synthase A, mitochondrial",19.6675,19.555,-0.1125,0.016794205
Q8TDZ2,MICAL1,Protein-methionine sulfoxide oxidase MICAL1,22.7375,22.625,-0.1125,0.016794205
P06703,S100A6,Protein S100-A6,26.9925,26.78,-0.2125,0.016767298
Q92945,KHSRP,Far upstream element-binding protein 2,24.3275,24.08,-0.2475,0.016747472
Q6ICB0,DESI1,Desumoylating isopeptidase 1,20.8425,20.5025,-0.34,0.016739444
O75436,VPS26A,Vacuolar protein sorting-associated protein 26A,22.6025,22.44,-0.1625,0.016735654
Q9GZR7,DDX24,ATP-dependent RNA helicase DDX24,20.835,20.7,-0.135,0.016735306
Q0VDF9,HSPA14,Heat shock 70 kDa protein 14,20.755,20.5625,-0.1925,0.016693856
P18124,RPL7,60S ribosomal protein L7,25.4025,25.14,-0.2625,0.01667885
P05455,SSB,Lupus La protein,25.075,24.8575,-0.2175,0.01667407
O75530,EED,Polycomb protein EED,18.8325,18.5675,-0.265,0.016649412
P09913,IFIT2,Interferon-induced protein with tetratricopeptide repeats 2,20.26,20.04,-0.22,0.016644879
P20645,M6PR,Cation-dependent mannose-6-phosphate receptor,23.625,23.26,-0.365,0.016640342
P13010,XRCC5,X-ray repair cross-complementing protein 5,26.1275,25.9325,-0.195,0.016613459
P32780,GTF2H1,General transcription factor IIH subunit 1,19.03,18.825,-0.205,0.016581336
P60174,TPI1,Triosephosphate isomerase,26.9375,26.755,-0.1825,0.016573326
P61018,RAB4B,Ras-related protein Rab-4B,21.04,20.8575,-0.1825,0.016573326
O43707,ACTN4,Alpha-actinin-4,25.865,25.685,-0.18,0.016551516
P20338,RAB4A,Ras-related protein Rab-4A,19.545,19.4575,-0.0875,0.016549268
P61626,LYZ,Lysozyme C,27.18,26.6275,-0.5525,0.016546047
Q6ZUJ8,PIK3AP1,Phosphoinositide 3-kinase adapter protein 1,21.8525,21.5975,-0.255,0.016541988
Q8N954,GPATCH11,G patch domain-containing protein 11,18.7825,18.42,-0.3625,0.016538184
P10176,COX8A,"Cytochrome c oxidase subunit 8A, mitochondrial",17.78,17.6475,-0.1325,0.016522307
Q92620,DHX38,Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16,21.2775,21.0925,-0.185,0.016520545
P05141,SLC25A5,ADP/ATP translocase 2,24.6425,24.4575,-0.185,0.016520545
P51965,UBE2E1,Ubiquitin-conjugating enzyme E2 E1,20.3775,19.985,-0.3925,0.016463506
Q9Y2Q9,MRPS28,"28S ribosomal protein S28, mitochondrial",17.8125,17.62,-0.1925,0.016453017
P48556,PSMD8,26S proteasome non-ATPase regulatory subunit 8,22.7325,22.555,-0.1775,0.016448772
P12956,XRCC6,X-ray repair cross-complementing protein 6,26.195,26.0175,-0.1775,0.016448772
Q92598,HSPH1,Heat shock protein 105 kDa,24.46,24.305,-0.155,0.016438692
Q2TAL8,QRICH1,Glutamine-rich protein 1,20.6325,20.4775,-0.155,0.016438692
P52948,NUP98,Nuclear pore complex protein Nup98-Nup96,22.51,22.355,-0.155,0.016438692
P63244,GNB2L1,Guanine nucleotide-binding protein subunit beta-2-like 1,25.56,25.275,-0.285,0.016434126
Q12996,CSTF3,Cleavage stimulation factor subunit 3,21.9725,21.7625,-0.21,0.016427971
P50454,SERPINH1,Serpin H1,19.395,19.2325,-0.1625,0.01639771
Q14142,TRIM14,Tripartite motif-containing protein 14,18.4275,18.1025,-0.325,0.01639771
Q9NQW7,XPNPEP1,Xaa-Pro aminopeptidase 1,22.9075,22.6425,-0.265,0.016395399
Q9Y3F4,STRAP,Serine-threonine kinase receptor-associated protein,23.4075,23.135,-0.2725,0.016364591
Q9BW61,DDA1,DET1- and DDB1-associated protein 1,19.535,19.1525,-0.3825,0.016313648
P46379,BAG6,Large proline-rich protein BAG6,21.55,21.3325,-0.2175,0.016297165
Q9HD45,TM9SF3,Transmembrane 9 superfamily member 3,21.975,21.7575,-0.2175,0.016297165
Q13045,FLII,Protein flightless-1 homolog,24.52,24.3,-0.22,0.016276603
P30042,C21orf33,"ES1 protein homolog, mitochondrial",22.39,22.29,-0.1,0.016276603
Q9P0L0,VAPA,Vesicle-associated membrane protein-associated protein A,24.3625,24.135,-0.2275,0.016273919
P30626,SRI,Sorcin,22.2175,22.045,-0.1725,0.016271934
Q96I99,SUCLG2,"Succinyl-CoA ligase [GDP-forming] subunit beta, mitochondrial",22.8775,22.7325,-0.145,0.016250175
P15927,RPA2,Replication protein A 32 kDa subunit,22.41,22.2875,-0.1225,0.016193319
Q9UHX3,ADGRE2,Adhesion G protein-coupled receptor E2,20.4625,20.34,-0.1225,0.016193319
Q9Y375,NDUFAF1,"Complex I intermediate-associated protein 30, mitochondrial",17.7175,17.42,-0.2975,0.016187175
Q14728,MFSD10,Major facilitator superfamily domain-containing protein 10,19.815,19.6975,-0.1175,0.016186084
P83731,RPL24,60S ribosomal protein L24,23.95,23.655,-0.295,0.016168113
Q92621,NUP205,Nuclear pore complex protein Nup205,23.185,23.0075,-0.1775,0.016166433
Q9HD33,MRPL47,"39S ribosomal protein L47, mitochondrial",19.23,19.0425,-0.1875,0.016146294
O14548,COX7A2L,"Cytochrome c oxidase subunit 7A-related protein, mitochondrial",20.6,20.385,-0.215,0.016072479
O75150,RNF40,E3 ubiquitin-protein ligase BRE1B,21.65,21.42,-0.23,0.016066767
P16150,SPN,Leukosialin,21.0825,20.6575,-0.425,0.016027771
O00400,SLC33A1,Acetyl-coenzyme A transporter 1,19.97,19.785,-0.185,0.016001034
Q13185,CBX3,Chromobox protein homolog 3,23.0325,22.8425,-0.19,0.015969305
Q6ZNJ1,NBEAL2,Neurobeachin-like protein 2,23.4825,23.3575,-0.125,0.015957136
O75832,PSMD10,26S proteasome non-ATPase regulatory subunit 10,20.2825,20.055,-0.2275,0.015931063
Q9Y3B9,RRP15,RRP15-like protein,18.5575,18.1275,-0.43,0.015928709
P14866,HNRNPL,Heterogeneous nuclear ribonucleoprotein L,25.0825,24.905,-0.1775,0.015885098
O75223,GGCT,Gamma-glutamylcyclotransferase,21.725,21.5225,-0.2025,0.015813779
O43426,SYNJ1,Synaptojanin-1,21.1825,20.8725,-0.31,0.015792317
Q8NI36,WDR36,WD repeat-containing protein 36,18.9675,18.6675,-0.3,0.015784144
Q9H5N1,RABEP2,Rab GTPase-binding effector protein 2,19.6125,19.4775,-0.135,0.015759906
O94979,SEC31A,Protein transport protein Sec31A,23.73,23.595,-0.135,0.015759906
O94826,TOMM70A,Mitochondrial import receptor subunit TOM70,23.28,23.005,-0.275,0.015741962
Q15393,SF3B3,Splicing factor 3B subunit 3,24.205,23.9875,-0.2175,0.015735128
P42167,TMPO,"Lamina-associated polypeptide 2, isoforms beta/gamma",24.35,24.1875,-0.1625,0.015726071
P62191,PSMC1,26S protease regulatory subunit 4,24.1725,23.9825,-0.19,0.015724334
Q02790,FKBP4,Peptidyl-prolyl cis-trans isomerase FKBP4,22.005,21.75,-0.255,0.015723018
Q6I9Y2,THOC7,THO complex subunit 7 homolog,18.9525,18.7175,-0.235,0.015705071
P07237,P4HB,Protein disulfide-isomerase,27.69,27.535,-0.155,0.015700414
O60234,GMFG,Glia maturation factor gamma,23.65,23.495,-0.155,0.015700414
Q7L266,ASRGL1,Isoaspartyl peptidase/L-asparaginase,20.9625,20.805,-0.1575,0.015690696
Q6UX04,CWC27,Peptidyl-prolyl cis-trans isomerase CWC27 homolog,19.385,19.21,-0.175,0.015680023
Q8NF91,SYNE1,Nesprin-1,20.45,20.3075,-0.1425,0.015670003
O43826,SLC37A4,Glucose-6-phosphate translocase,18.42,18.3,-0.12,0.015661517
Q9HC16,APOBEC3G,DNA dC->dU-editing enzyme APOBEC-3G,20.43,20.23,-0.2,0.015612522
Q9NUQ9,FAM49B,Protein FAM49B,24.3625,24.185,-0.1775,0.015604783
O94905,ERLIN2,Erlin-2,22.5325,22.41,-0.1225,0.015603618
Q9HC38,GLOD4,Glyoxalase domain-containing protein 4,22.55,22.4225,-0.1275,0.015587358
Q9UPN7,PPP6R1,Serine/threonine-protein phosphatase 6 regulatory subunit 1,21.925,21.7275,-0.1975,0.015563907
O95639,CPSF4,Cleavage and polyadenylation specificity factor subunit 4,17.9675,17.85,-0.1175,0.015545402
P78371,CCT2,T-complex protein 1 subunit beta,24.24,24.02,-0.22,0.015545154
Q92499,DDX1,ATP-dependent RNA helicase DDX1,23.4675,23.2475,-0.22,0.015545154
P18669,PGAM1,Phosphoglycerate mutase 1,26.5125,26.2625,-0.25,0.015533217
Q9Y512,SAMM50,Sorting and assembly machinery component 50 homolog,21.355,21.2525,-0.1025,0.015526427
Q4KMQ2,ANO6,Anoctamin-6,20.59,20.4875,-0.1025,0.015526427
Q86VM9,ZC3H18,Zinc finger CCCH domain-containing protein 18,21.8675,21.6625,-0.205,0.015526427
P55795,HNRNPH2,Heterogeneous nuclear ribonucleoprotein H2,22.05,21.9175,-0.1325,0.015512702
Q9NQT4,EXOSC5,Exosome complex component RRP46,18.885,18.645,-0.24,0.015508512
O95777,LSM8,U6 snRNA-associated Sm-like protein LSm8,21.03,20.79,-0.24,0.015508512
Q96D96,HVCN1,Voltage-gated hydrogen channel 1,20.245,20.0525,-0.1925,0.015496887
Q6ZSR9,YJ005,Uncharacterized protein FLJ45252,20.165,19.9325,-0.2325,0.015496584
Q9P2F8,SIPA1L2,Signal-induced proliferation-associated 1-like protein 2,18.51,18.1375,-0.3725,0.015478645
P04733,MT1F,Metallothionein-1F,16.6275,15.775,-0.8525,0.015466983
Q969X5,ERGIC1,Endoplasmic reticulum-Golgi intermediate compartment protein 1,20.9125,20.655,-0.2575,0.015424262
Q9UIS9,MBD1,Methyl-CpG-binding domain protein 1,19.18,18.95,-0.23,0.015399085
O43493,TGOLN2,Trans-Golgi network integral membrane protein 2,21.1675,20.9425,-0.225,0.015392438
P46977,STT3A,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A,23.815,23.565,-0.25,0.015392438
Q16531,DDB1,DNA damage-binding protein 1,23.9575,23.7825,-0.175,0.015392438
Q9P0U3,SENP1,Sentrin-specific protease 1,18.6025,18.415,-0.1875,0.015392438
P56385,ATP5I,"ATP synthase subunit e, mitochondrial",20.2675,20.05,-0.2175,0.015362713
Q9UIQ6,LNPEP,Leucyl-cystinyl aminopeptidase,20.7275,20.485,-0.2425,0.015278921
P52272,HNRNPM,Heterogeneous nuclear ribonucleoprotein M,25.9475,25.7575,-0.19,0.015236764
Q9NX57,RAB20,Ras-related protein Rab-20,19.6525,19.2925,-0.36,0.015186535
Q53GL0,PLEKHO1,Pleckstrin homology domain-containing family O member 1,20.605,20.3175,-0.2875,0.01518005
P23396,RPS3,40S ribosomal protein S3,25.775,25.4725,-0.3025,0.015177573
O15305,PMM2,Phosphomannomutase 2,22.43,22.185,-0.245,0.01516434
P54577,YARS,"Tyrosine--tRNA ligase, cytoplasmic",24.305,24.01,-0.295,0.015154443
Q15172,PPP2R5A,Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit alpha isoform,20.84,20.6525,-0.1875,0.015142828
Q9H446,RWDD1,RWD domain-containing protein 1,18.5725,18.28,-0.2925,0.015088949
O14737,PDCD5,Programmed cell death protein 5,22.2825,21.98,-0.3025,0.015081856
Q15181,PPA1,Inorganic pyrophosphatase,23.605,23.375,-0.23,0.015067471
Q96KC8,DNAJC1,DnaJ homolog subfamily C member 1,20.3825,20.0875,-0.295,0.015053833
Q9NTJ4,MAN2C1,Alpha-mannosidase 2C1,18.7175,18.54,-0.1775,0.015047292
Q5BKZ1,ZNF326,DBIRD complex subunit ZNF326,20.425,20.2325,-0.1925,0.015023317
Q9UHV9,PFDN2,Prefoldin subunit 2,21.8575,21.61,-0.2475,0.015014576
P11021,HSPA5,78 kDa glucose-regulated protein,27.1475,26.9575,-0.19,0.014994189
P54727,RAD23B,UV excision repair protein RAD23 homolog B,23.58,23.39,-0.19,0.014994189
P62263,RPS14,40S ribosomal protein S14,22.7575,22.46,-0.2975,0.014992291
Q96EK7,FAM120B,Constitutive coactivator of peroxisome proliferator-activated receptor gamma,18.565,18.4925,-0.0725,0.014992173
Q15424,SAFB,Scaffold attachment factor B1,23.765,23.5475,-0.2175,0.014992173
Q10570,CPSF1,Cleavage and polyadenylation specificity factor subunit 1,21.345,21.2,-0.145,0.014992173
P22059,OSBP,Oxysterol-binding protein 1,23.21,23.0525,-0.1575,0.014982536
O14920,IKBKB,Inhibitor of nuclear factor kappa-B kinase subunit beta,22.9,22.6575,-0.2425,0.014981038
Q8NBJ7,SUMF2,Sulfatase-modifying factor 2,20.04,19.73,-0.31,0.014969246
Q8NFZ5,TNIP2,TNFAIP3-interacting protein 2,18.0475,17.7375,-0.31,0.014969246
Q9H1Y0,ATG5,Autophagy protein 5,19.1475,19.0575,-0.09,0.014916499
O75152,ZC3H11A,Zinc finger CCCH domain-containing protein 11A,21.545,21.455,-0.09,0.014916499
P62258,YWHAE,14-3-3 protein epsilon,25.225,25.0375,-0.1875,0.014894079
P31942,HNRNPH3,Heterogeneous nuclear ribonucleoprotein H3,22.8025,22.605,-0.1975,0.014889384
Q96TC7,RMDN3,Regulator of microtubule dynamics protein 3,20.21,19.88,-0.33,0.014880869
Q8TCC3,MRPL30,"39S ribosomal protein L30, mitochondrial",19.055,18.745,-0.31,0.014878367
Q96F24,NRBF2,Nuclear receptor-binding factor 2,20.97,20.7025,-0.2675,0.0148588
Q86VP6,CAND1,Cullin-associated NEDD8-dissociated protein 1,25.035,24.825,-0.21,0.014828547
Q9Y4X5,ARIH1,E3 ubiquitin-protein ligase ARIH1,20.8075,20.665,-0.1425,0.014806089
P08575,PTPRC,Receptor-type tyrosine-protein phosphatase C,25.465,25.1475,-0.3175,0.014736191
Q9BRZ2,TRIM56,E3 ubiquitin-protein ligase TRIM56,19.835,19.635,-0.2,0.01473615
Q02878,RPL6,60S ribosomal protein L6,25.7225,25.3925,-0.33,0.014720755
Q14376,GALE,UDP-glucose 4-epimerase,20.7075,20.5025,-0.205,0.014693028
Q6P996,PDXDC1,Pyridoxal-dependent decarboxylase domain-containing protein 1,21.3975,21.1475,-0.25,0.014692613
P84090,ERH,Enhancer of rudimentary homolog,22.5,22.1425,-0.3575,0.014683385
Q9NZZ3,CHMP5,Charged multivesicular body protein 5,21.8775,21.69,-0.1875,0.014646204
P60709,ACTB,"Actin, cytoplasmic 1",30.965,30.7,-0.265,0.014640325
Q9Y3D9,MRPS23,"28S ribosomal protein S23, mitochondrial",19.0575,18.785,-0.2725,0.014587251
Q16718,NDUFA5,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5,20.175,19.9,-0.275,0.014583352
O94903,PROSC,Proline synthase co-transcribed bacterial homolog protein,22.595,22.48,-0.115,0.014572926
O60256,PRPSAP2,Phosphoribosyl pyrophosphate synthase-associated protein 2,20.535,20.42,-0.115,0.014572926
O00541,PES1,Pescadillo homolog,20.63,20.2925,-0.3375,0.014548523
P98170,XIAP,E3 ubiquitin-protein ligase XIAP,20.115,19.8275,-0.2875,0.014546649
Q7L1Q6,BZW1,Basic leucine zipper and W2 domain-containing protein 1,24.795,24.5375,-0.2575,0.014501801
Q9UID3,VPS51,Vacuolar protein sorting-associated protein 51 homolog,20.22,20.0475,-0.1725,0.014499959
