SWPROT,Gene,description,AverageFC_Vehicle,AverageFC_LPS,LPS_Log2FC,pvalue_ttest1
Q9UHA4,LAMTOR3,Ragulator complex protein LAMTOR3,21.055,21.135,0.08,0.170300586
Q8N201,INTS1,Integrator complex subunit 1,20.1475,20.19,0.0425,0.64239283
Q13137,CALCOCO2,Calcium-binding and coiled-coil domain-containing protein 2,20.56,20.5125,-0.0475,0.095312489
O14948,TFEC,Transcription factor EC,18.2725,18.33,0.0575,0.315698086
Q15528,MED22,Mediator of RNA polymerase II transcription subunit 22,18.22,18.31,0.09,0.096640313
Q9H6U6,BCAS3,Breast carcinoma-amplified sequence 3,17.505,17.5225,0.0175,0.56571191
O60447,EVI5,Ecotropic viral integration site 5 protein homolog,17.98,18.05,0.07,0.0074571
Q96GX9,APIP,Methylthioribulose-1-phosphate dehydratase,18.9625,19.015,0.0525,0.48448462
Q9Y2Z0,SUGT1,Protein SGT1 homolog,22.21,22.27,0.06,0.298141149
P05114,HMGN1,Non-histone chromosomal protein HMG-14,22.8775,22.9225,0.045,0.591321126
P50225,SULT1A1,Sulfotransferase 1A1,24.2625,24.305,0.0425,0.458286737
Q9NQR4,NIT2,Omega-amidase NIT2,22.395,22.45,0.055,0.320157178
P82675,MRPS5,"28S ribosomal protein S5, mitochondrial",19.9925,20,0.0075,0.796127624
P11171,EPB41,Protein 4.1,21.1675,21.2225,0.055,0.225706386
A6NJG2,SOWAHD,Ankyrin repeat domain-containing protein SOWAHD,17.2525,17.3375,0.085,0.533639152
Q9NVX2,NLE1,Notchless protein homolog 1,18.075,18.1025,0.0275,0.539918013
Q16637,SMN1,Survival motor neuron protein,20.2475,20.2825,0.035,0.657416411
Q9UBU9,NXF1,Nuclear RNA export factor 1,21.725,21.7825,0.0575,0.246856264
Q8N6S5,ARL6IP6,ADP-ribosylation factor-like protein 6-interacting protein 6,18.3225,18.3725,0.05,0.271456738
Q9UK59,DBR1,Lariat debranching enzyme,20.6575,20.675,0.0175,0.310100901
Q12981,BNIP1,Vesicle transport protein SEC20,20.725,20.7825,0.0575,0.528845028
P01834,IGKC,Ig kappa chain C region,19.21,19.2625,0.0525,0.548768015
P01009,SERPINA1,Alpha-1-antitrypsin,22.19,22.2325,0.0425,0.531027403
P55061,TMBIM6,Bax inhibitor 1,20.46,20.4775,0.0175,0.888560051
Q9BY32,ITPA,Inosine triphosphate pyrophosphatase,21.495,21.5375,0.0425,0.053854218
P49419,ALDH7A1,Alpha-aminoadipic semialdehyde dehydrogenase,20.33,20.345,0.015,0.841533935
Q9Y450,HBS1L,HBS1-like protein,20.28,20.33,0.05,0.203210897
P32119,PRDX2,Peroxiredoxin-2,23.1425,23.005,-0.1375,0.014928974
P16298,PPP3CB,Serine/threonine-protein phosphatase 2B catalytic subunit beta isoform,18.545,18.5575,0.0125,0.680310353
Q9BTY2,FUCA2,Plasma alpha-L-fucosidase,18.98,18.9175,-0.0625,0.332527478
Q15022,SUZ12,Polycomb protein SUZ12,19.5325,19.615,0.0825,0.030684255
Q53EL6,PDCD4,Programmed cell death protein 4,17.4375,17.485,0.0475,0.82141128
Q9H4A4,RNPEP,Aminopeptidase B,23.895,23.9125,0.0175,0.212572963
O95685,PPP1R3D,Protein phosphatase 1 regulatory subunit 3D,18.04,18.21,0.17,0.048855532
P46926,GNPDA1,Glucosamine-6-phosphate isomerase 1,22.8,22.785,-0.015,0.245193882
Q9H8Y8,GORASP2,Golgi reassembly-stacking protein 2,22.0575,22.0925,0.035,0.314115514
Q86WR0,CCDC25,Coiled-coil domain-containing protein 25,19.245,19.195,-0.05,0.313996055
Q15629,TRAM1,Translocating chain-associated membrane protein 1,20.59,20.6525,0.0625,0.242770125
Q9H9F9,ACTR5,Actin-related protein 5,16.3525,16.3075,-0.045,0.633568854
Q8TF68,ZNF384,Zinc finger protein 384,18.7775,18.8275,0.05,0.505748078
Q15648,MED1,Mediator of RNA polymerase II transcription subunit 1,20.2775,20.34,0.0625,0.300425562
Q8IXK0,PHC2,Polyhomeotic-like protein 2,18.4,18.46,0.06,0.571331505
Q9Y6K5,OAS3,2'-5'-oligoadenylate synthase 3,21.9875,21.9525,-0.035,0.229663858
P62158,CALM1,Calmodulin,25.98,25.9225,-0.0575,0.049339453
Q2TAA2,IAH1,Isoamyl acetate-hydrolyzing esterase 1 homolog,19.5275,19.615,0.0875,0.247852071
P61254,RPL26,60S ribosomal protein L26,23.53,23.5925,0.0625,0.205694072
P21281,ATP6V1B2,"V-type proton ATPase subunit B, brain isoform",25.56,25.55,-0.01,0.774347703
P08708,RPS17,40S ribosomal protein S17,22.9775,23.0225,0.045,0.378736608
P82663,MRPS25,"28S ribosomal protein S25, mitochondrial",17.9725,18.0325,0.06,0.531798221
Q96DZ1,ERLEC1,Endoplasmic reticulum lectin 1,20.395,20.4725,0.0775,0.053080586
Q9UJA5,TRMT6,tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6,20.6325,20.7225,0.09,0.429604646
Q96HW7,INTS4,Integrator complex subunit 4,17.915,18.0025,0.0875,0.129238518
Q9Y2S7,POLDIP2,Polymerase delta-interacting protein 2,19.5275,19.5775,0.05,0.165370396
Q9NZV6,MSRB1,Methionine-R-sulfoxide reductase B1,17.2175,17.2925,0.075,0.418998724
Q9Y2Q5,LAMTOR2,Ragulator complex protein LAMTOR2,22.495,22.54,0.045,0.426779443
Q96QG7,MTMR9,Myotubularin-related protein 9,19.88,19.94,0.06,0.20917028
O14646,CHD1,Chromodomain-helicase-DNA-binding protein 1,20.46,20.5225,0.0625,0.071750172
Q676U5,ATG16L1,Autophagy-related protein 16-1,18.8825,18.9275,0.045,0.316560241
Q9HAN9,NMNAT1,Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 1,20.91,20.975,0.065,0.10632509
Q9UBV8,PEF1,Peflin,19.68,19.7225,0.0425,0.2630008
Q14765,STAT4,Signal transducer and activator of transcription 4,18.88,19.02,0.14,0.071526342
O75531,BANF1,Barrier-to-autointegration factor,23.2775,23.24,-0.0375,0.06501504
Q69YN4,KIAA1429,Protein virilizer homolog,20.765,20.8325,0.0675,0.185595708
P82979,SARNP,SAP domain-containing ribonucleoprotein,22.0925,22.14,0.0475,0.059196066
Q9Y3P9,RABGAP1,Rab GTPase-activating protein 1,20.6,20.625,0.025,0.683485238
P07738,BPGM,Bisphosphoglycerate mutase,19.235,19.3575,0.1225,0.405623191
P28482,MAPK1,Mitogen-activated protein kinase 1,24.2975,24.275,-0.0225,0.299264385
Q9NR31,SAR1A,GTP-binding protein SAR1a,23.47,23.5275,0.0575,0.260000552
Q9H6K1,C6orf106,Uncharacterized protein C6orf106,18.7925,18.745,-0.0475,0.586688347
P62834,RAP1A,Ras-related protein Rap-1A,22.2975,22.3625,0.065,0.048707891
P22415,USF1,Upstream stimulatory factor 1,17.3825,17.36,-0.0225,0.704481073
Q8IY21,DDX60,Probable ATP-dependent RNA helicase DDX60,19.5075,19.5425,0.035,0.659917562
Q9BQB6,VKORC1,Vitamin K epoxide reductase complex subunit 1,19.27,19.3275,0.0575,0.055584588
P61962,DCAF7,DDB1- and CUL4-associated factor 7,18.35,18.5025,0.1525,0.266998963
Q14814,MEF2D,Myocyte-specific enhancer factor 2D,20.985,21.025,0.04,0.379945513
Q29974,HLA-DRB1,"HLA class II histocompatibility antigen, DRB1-16 beta chain",23.9825,24.0175,0.035,0.449142551
Q8N4C6,NIN,Ninein,17.33,17.395,0.065,0.507207739
Q9HAU5,UPF2,Regulator of nonsense transcripts 2,20.8975,20.96,0.0625,0.266494176
P61006,RAB8A,Ras-related protein Rab-8A,23.965,23.9875,0.0225,0.685512189
Q6IC98,GRAMD4,GRAM domain-containing protein 4,20.1675,20.23,0.0625,0.087384388
Q9UHY7,ENOPH1,Enolase-phosphatase E1,20.7675,20.815,0.0475,0.182570639
Q8WUX9,CHMP7,Charged multivesicular body protein 7,19.6525,19.74,0.0875,0.363642217
Q9UIQ6,LNPEP,Leucyl-cystinyl aminopeptidase,20.7275,20.705,-0.0225,0.439177381
Q13153,PAK1,Serine/threonine-protein kinase PAK 1,21.185,21.2325,0.0475,0.468303399
Q13325,IFIT5,Interferon-induced protein with tetratricopeptide repeats 5,20.715,20.73,0.015,0.640833231
Q7Z6I8,C5orf24,UPF0461 protein C5orf24,18.2725,18.255,-0.0175,0.771134785
Q16563,SYPL1,Synaptophysin-like protein 1,20.7325,20.78,0.0475,0.451169785
P13693,TPT1,Translationally-controlled tumor protein,24.8925,24.925,0.0325,0.600746929
Q5TFE4,NT5DC1,5'-nucleotidase domain-containing protein 1,20.015,20.0575,0.0425,0.511434811
P60891,PRPS1,Ribose-phosphate pyrophosphokinase 1,20.2825,20.345,0.0625,0.43304466
P53582,METAP1,Methionine aminopeptidase 1,20.2375,20.2825,0.045,0.25755217
Q9UHG3,PCYOX1,Prenylcysteine oxidase 1,20.845,20.885,0.04,0.440382198
P04792,HSPB1,Heat shock protein beta-1,20.445,20.405,-0.04,0.54105093
O43583,DENR,Density-regulated protein,21.4475,21.49,0.0425,0.242323439
P10620,MGST1,Microsomal glutathione S-transferase 1,22.0825,22.0525,-0.03,0.56792416
Q9H444,CHMP4B,Charged multivesicular body protein 4b,23.8225,23.87,0.0475,0.335505923
Q9HC07,TMEM165,Transmembrane protein 165,21.555,21.57,0.015,0.405771569
P30533,LRPAP1,Alpha-2-macroglobulin receptor-associated protein,21.8625,21.905,0.0425,0.2630008
Q6DN90,IQSEC1,IQ motif and SEC7 domain-containing protein 1,18.775,18.825,0.05,0.165370396
Q8WUM4,PDCD6IP,Programmed cell death 6-interacting protein,25.2525,25.2825,0.03,0.48367219
Q16877,PFKFB4,"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 4",20.05,20.06,0.01,0.73357932
Q86V48,LUZP1,Leucine zipper protein 1,19.49,19.565,0.075,0.170168913
A6NI72,NCF1B,Putative neutrophil cytosol factor 1B,23.5725,23.66,0.0875,0.031436612
Q13568,IRF5,Interferon regulatory factor 5,21.8225,21.805,-0.0175,0.613942693
P60604,UBE2G2,Ubiquitin-conjugating enzyme E2 G2,20.18,20.2175,0.0375,0.41414119
P57105,SYNJ2BP,Synaptojanin-2-binding protein,17.985,18.005,0.02,0.858493992
Q9H9A5,CNOT10,CCR4-NOT transcription complex subunit 10,20.5525,20.565,0.0125,0.194171346
Q96RQ9,IL4I1,L-amino-acid oxidase,20.365,20.425,0.06,0.316262115
Q8IYB1,MB21D2,Protein MB21D2,17.725,17.7925,0.0675,0.039611947
Q96GD0,PDXP,Pyridoxal phosphate phosphatase,19.5125,19.5975,0.085,0.015587358
O00178,GTPBP1,GTP-binding protein 1,20.9625,21,0.0375,0.239442599
P32121,ARRB2,Beta-arrestin-2,23.2425,23.305,0.0625,0.362718486
Q9Y696,CLIC4,Chloride intracellular channel protein 4,22.4875,22.5075,0.02,0.746434005
Q16864,ATP6V1F,V-type proton ATPase subunit F,20.185,20.155,-0.03,0.154030903
O95573,ACSL3,Long-chain-fatty-acid--CoA ligase 3,21.56,21.62,0.06,0.196793704
Q9NZ63,C9orf78,Uncharacterized protein C9orf78,20.265,20.2375,-0.0275,0.695623136
Q6P1J9,CDC73,Parafibromin,21.855,21.88,0.025,0.181690114
A3KN83,SBNO1,Protein strawberry notch homolog 1,20.3575,20.44,0.0825,0.19903042
P54578,USP14,Ubiquitin carboxyl-terminal hydrolase 14,23.8125,23.8425,0.03,0.362333152
P42166,TMPO,"Lamina-associated polypeptide 2, isoform alpha",22.94,23.0025,0.0625,0.273948554
Q96PP8,GBP5,Guanylate-binding protein 5,18.72,18.755,0.035,0.523167054
Q5T9A4,ATAD3B,ATPase family AAA domain-containing protein 3B,18.12,18.2,0.08,0.218001537
P78537,BLOC1S1,Biogenesis of lysosome-related organelles complex 1 subunit 1,19.58,19.6625,0.0825,0.277688513
Q8WZA0,LZIC,Protein LZIC,20.825,20.88,0.055,0.247535378
Q5VZ89,DENND4C,DENN domain-containing protein 4C,20.9325,20.99,0.0575,0.269003916
Q10471,GALNT2,Polypeptide N-acetylgalactosaminyltransferase 2,20.6675,20.6425,-0.025,0.591362634
P62263,RPS14,40S ribosomal protein S14,22.7575,22.805,0.0475,0.381630795
P49754,VPS41,Vacuolar protein sorting-associated protein 41 homolog,20.1775,20.22,0.0425,0.416097825
Q92688,ANP32B,Acidic leucine-rich nuclear phosphoprotein 32 family member B,23.0175,23.07,0.0525,0.496276029
Q15291,RBBP5,Retinoblastoma-binding protein 5,20.7675,20.795,0.0275,0.582661173
P10619,CTSA,Lysosomal protective protein,21.3025,21.2125,-0.09,0.422462867
Q9NZM5,GLTSCR2,Glioma tumor suppressor candidate region gene 2 protein,19.3625,19.41,0.0475,0.141439444
Q53GL7,PARP10,Poly [ADP-ribose] polymerase 10,19.715,19.75,0.035,0.288962091
P21266,GSTM3,Glutathione S-transferase Mu 3,19.675,19.7075,0.0325,0.143826137
O00154,ACOT7,Cytosolic acyl coenzyme A thioester hydrolase,20.745,20.82,0.075,0.242907897
P36969,GPX4,"Phospholipid hydroperoxide glutathione peroxidase, mitochondrial",22.435,22.445,0.01,0.790218205
P49773,HINT1,Histidine triad nucleotide-binding protein 1,22.2475,22.285,0.0375,0.719879779
P23469,PTPRE,Receptor-type tyrosine-protein phosphatase epsilon,24.59,24.5625,-0.0275,0.697896443
P78417,GSTO1,Glutathione S-transferase omega-1,25.1175,25.095,-0.0225,0.266456826
P42696,RBM34,RNA-binding protein 34,19.4275,19.405,-0.0225,0.254515768
Q6P1X5,TAF2,Transcription initiation factor TFIID subunit 2,18.6975,18.7225,0.025,0.681113016
Q6FI81,CIAPIN1,Anamorsin,21.46,21.4275,-0.0325,0.339599038
P23258,TUBG1,Tubulin gamma-1 chain,20.7425,20.805,0.0625,0.092520859
Q5VTB9,RNF220,E3 ubiquitin-protein ligase RNF220,18.195,18.23,0.035,0.65064628
Q9Y6M5,SLC30A1,Zinc transporter 1,20.685,20.7125,0.0275,0.791604385
O60488,ACSL4,Long-chain-fatty-acid--CoA ligase 4,24.0925,24.1025,0.01,0.622002454
P42338,PIK3CB,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform",19.8125,19.8225,0.01,0.181690114
Q9NRL3,STRN4,Striatin-4,20.2125,20.2825,0.07,0.221245978
Q6GMV3,PTRHD1,Putative peptidyl-tRNA hydrolase PTRHD1,20.205,20.1825,-0.0225,0.242013695
Q13042,CDC16,Cell division cycle protein 16 homolog,20.2875,20.3225,0.035,0.399272432
O14772,FPGT,Fucose-1-phosphate guanylyltransferase,19.19,19.2175,0.0275,0.714419142
Q9H6U8,ALG9,"Alpha-1,2-mannosyltransferase ALG9",17.5575,17.63,0.0725,0.257720839
Q9UBI1,COMMD3,COMM domain-containing protein 3,20.3275,20.405,0.0775,0.407527828
P08240,SRPR,Signal recognition particle receptor subunit alpha,23.345,23.3175,-0.0275,0.647833709
Q15031,LARS2,"Probable leucine--tRNA ligase, mitochondrial",19.09,19.1425,0.0525,0.445388516
Q71SY5,MED25,Mediator of RNA polymerase II transcription subunit 25,16.6425,16.745,0.1025,0.645908147
Q15800,MSMO1,Methylsterol monooxygenase 1,17.7825,17.805,0.0225,0.781852004
Q8NBN3,TMEM87A,Transmembrane protein 87A,19.5875,19.565,-0.0225,0.49404617
Q12849,GRSF1,G-rich sequence factor 1,19.1625,19.13,-0.0325,0.66961371
Q9NWU2,GID8,Glucose-induced degradation protein 8 homolog,18.9375,18.9875,0.05,0.122777678
Q9BTZ2,DHRS4,Dehydrogenase/reductase SDR family member 4,21.735,21.7725,0.0375,0.634449016
Q6DKK2,TTC19,"Tetratricopeptide repeat protein 19, mitochondrial",19.0925,19.1325,0.04,0.615056841
Q8WUY1,THEM6,Protein THEM6,18.2425,18.32,0.0775,0.439665265
Q5H9R7,PPP6R3,Serine/threonine-protein phosphatase 6 regulatory subunit 3,22.1775,22.2275,0.05,0.184857351
Q86Y82,STX12,Syntaxin-12,21.8525,21.885,0.0325,0.49826972
Q8NBM4,UBAC2,Ubiquitin-associated domain-containing protein 2,17.735,17.7225,-0.0125,0.719879779
O15320,CTAGE5,cTAGE family member 5,20.81,20.84,0.03,0.432388998
Q13287,NMI,N-myc-interactor,22.2875,22.32,0.0325,0.548418731
P82930,MRPS34,"28S ribosomal protein S34, mitochondrial",17.305,17.3625,0.0575,0.162480138
O60524,NEMF,Nuclear export mediator factor NEMF,20.865,20.8825,0.0175,0.449142551
Q8IXJ6,SIRT2,NAD-dependent protein deacetylase sirtuin-2,18.4475,18.475,0.0275,0.39550904
Q9H8H0,NOL11,Nucleolar protein 11,19.9475,19.9375,-0.01,0.739225572
Q9H497,TOR3A,Torsin-3A,17.3725,17.4275,0.055,0.368158172
Q7Z3J2,C16orf62,UPF0505 protein C16orf62,22.12,22.16,0.04,0.298502753
Q6NUK4,REEP3,Receptor expression-enhancing protein 3,17.605,17.6425,0.0375,0.764484959
Q9Y3A2,UTP11L,Probable U3 small nucleolar RNA-associated protein 11,18.39,18.355,-0.035,0.350857666
Q96RN5,MED15,Mediator of RNA polymerase II transcription subunit 15,17.545,17.46,-0.085,0.489462376
Q9H1Y0,ATG5,Autophagy protein 5,19.1475,19.2275,0.08,0.038930372
Q7L0Y3,TRMT10C,Mitochondrial ribonuclease P protein 1,21.1075,21.1725,0.065,0.160283715
P62140,PPP1CB,Serine/threonine-protein phosphatase PP1-beta catalytic subunit,20.5725,20.6025,0.03,0.154030903
Q9Y6K9,IKBKG,NF-kappa-B essential modulator,22.025,21.99,-0.035,0.275354185
P10606,COX5B,"Cytochrome c oxidase subunit 5B, mitochondrial",23.1875,23.2575,0.07,0.338657889
Q9Y385,UBE2J1,Ubiquitin-conjugating enzyme E2 J1,21.305,21.36,0.055,0.564953162
Q8IWX8,CHERP,Calcium homeostasis endoplasmic reticulum protein,21.9575,22.0125,0.055,0.230211664
P02790,HPX,Hemopexin,20.32,20.1,-0.22,0.336738728
Q9BRR9,ARHGAP9,Rho GTPase-activating protein 9,20.67,20.6975,0.0275,0.682784987
Q9BUV8,C20orf24,Uncharacterized protein C20orf24,20.615,20.655,0.04,0.574988315
O95260,ATE1,Arginyl-tRNA--protein transferase 1,19.44,19.4425,0.0025,0.90301055
O75400,PRPF40A,Pre-mRNA-processing factor 40 homolog A,23.1,23.1375,0.0375,0.107930084
Q8ND56,LSM14A,Protein LSM14 homolog A,20.81,20.87,0.06,0.280131028
Q5JWF2,GNAS,Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas,22.1125,22.09,-0.0225,0.519497962
O14737,PDCD5,Programmed cell death protein 5,22.2825,22.26,-0.0225,0.615469671
Q9NR28,DIABLO,"Diablo homolog, mitochondrial",21.7575,21.79,0.0325,0.412648302
P10253,GAA,Lysosomal alpha-glucosidase,20.4775,20.5575,0.08,0.350804654
P30260,CDC27,Cell division cycle protein 27 homolog,19.6025,19.6175,0.015,0.800075054
Q9NRP0,OSTC,Oligosaccharyltransferase complex subunit,19.6375,19.58,-0.0575,0.626966754
Q9Y6X3,MAU2,MAU2 chromatid cohesion factor homolog,19.1525,19.1775,0.025,0.728171267
Q9NYZ1,TVP23B,Golgi apparatus membrane protein TVP23 homolog B,17.87,17.9125,0.0425,0.566166889
P99999,CYCS,Cytochrome c,21.89,21.91,0.02,0.49000929
P35573,AGL,Glycogen debranching enzyme,20.9075,20.97,0.0625,0.180158554
Q96IV0,NGLY1,Peptide-N(4)-(N-acetyl-beta-glucosaminyl)asparagine amidase,19.12,19.2025,0.0825,0.194575497
Q8IUI8,CRLF3,Cytokine receptor-like factor 3,21.2175,21.2575,0.04,0.573503658
Q9NPR9,GPR108,Protein GPR108,19.4475,19.4725,0.025,0.586225119
O95772,STARD3NL,MLN64 N-terminal domain homolog,18.49,18.5475,0.0575,0.352219407
Q4KMP7,TBC1D10B,TBC1 domain family member 10B,20.9225,20.945,0.0225,0.680667839
O15427,SLC16A3,Monocarboxylate transporter 4,22.2175,22.19,-0.0275,0.127619878
Q04446,GBE1,"1,4-alpha-glucan-branching enzyme",22.32,22.3575,0.0375,0.332142567
O95759,TBC1D8,TBC1 domain family member 8,17.48,17.51,0.03,0.720345474
Q96K17,BTF3L4,Transcription factor BTF3 homolog 4,21.3575,21.45,0.0925,0.093836413
O14683,TP53I11,Tumor protein p53-inducible protein 11,18.4975,18.5675,0.07,0.419191752
P36578,RPL4,60S ribosomal protein L4,25.735,25.77,0.035,0.250939484
O00233,PSMD9,26S proteasome non-ATPase regulatory subunit 9,21.405,21.4475,0.0425,0.602719389
Q6P1A2,LPCAT3,Lysophospholipid acyltransferase 5,21.665,21.7325,0.0675,0.279110711
P62910,RPL32,60S ribosomal protein L32,23.525,23.5375,0.0125,0.700733338
O75083,WDR1,WD repeat-containing protein 1,26.125,26.115,-0.01,0.879601202
Q9NRW7,VPS45,Vacuolar protein sorting-associated protein 45,20.9975,21.0225,0.025,0.334537736
Q9BUB5,MKNK1,MAP kinase-interacting serine/threonine-protein kinase 1,18.53,18.4925,-0.0375,0.504257733
P28715,ERCC5,DNA repair protein complementing XP-G cells,18.575,18.6275,0.0525,0.406641828
Q86US8,SMG6,Telomerase-binding protein EST1A,16.8425,16.7825,-0.06,0.245193882
Q02818,NUCB1,Nucleobindin-1,23.1325,23.155,0.0225,0.544375465
Q9NNW7,TXNRD2,"Thioredoxin reductase 2, mitochondrial",20.905,20.9325,0.0275,0.537924939
Q5JPI3,C3orf38,Uncharacterized protein C3orf38,17.925,17.995,0.07,0.168429245
Q9H9L3,ISG20L2,Interferon-stimulated 20 kDa exonuclease-like 2,18.5275,18.64,0.1125,0.07071121
P09668,CTSH,Pro-cathepsin H,21.28,21.3675,0.0875,0.386452004
O14874,BCKDK,"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",19.6475,19.6625,0.015,0.734545851
Q8WVR3,C7orf43,Uncharacterized protein C7orf43,17.8475,17.9275,0.08,0.351453182
Q9NVF7,FBXO28,F-box only protein 28,18.2525,18.32,0.0675,0.008898705
Q7LBC6,KDM3B,Lysine-specific demethylase 3B,19.8975,19.915,0.0175,0.584937215
Q9P1Z2,CALCOCO1,Calcium-binding and coiled-coil domain-containing protein 1,20.285,20.245,-0.04,0.30492142
P13995,MTHFD2,"Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial",21.1,21.1375,0.0375,0.53452684
O60684,KPNA6,Importin subunit alpha-7,19.97,20.03,0.06,0.221048137
Q9UMY4,SNX12,Sorting nexin-12,22.2025,22.155,-0.0475,0.129348798
Q7Z3U7,MON2,Protein MON2 homolog,21.895,21.9175,0.0225,0.422462867
P37268,FDFT1,Squalene synthase,18.96,18.9475,-0.0125,0.744424635
P07992,ERCC1,DNA excision repair protein ERCC-1,18.7475,18.7775,0.03,0.73357932
P61289,PSME3,Proteasome activator complex subunit 3,22.755,22.775,0.02,0.456443657
P51828,ADCY7,Adenylate cyclase type 7,17.72,17.8,0.08,0.144909919
P55854,SUMO3,Small ubiquitin-related modifier 3,20.045,20.08,0.035,0.629578411
Q13572,ITPK1,Inositol-tetrakisphosphate 1-kinase,18.6675,18.6825,0.015,0.753973865
O75886,STAM2,Signal transducing adapter molecule 2,20.78,20.785,0.005,0.898168267
Q14534,SQLE,Squalene monooxygenase,17.695,17.7525,0.0575,0.329910677
P05387,RPLP2,60S acidic ribosomal protein P2,24.715,24.72,0.005,0.862969594
Q8WYN3,CSRNP3,Cysteine/serine-rich nuclear protein 3,21.8925,21.8125,-0.08,0.048526958
Q8NFG4,FLCN,Folliculin,19.8325,19.9025,0.07,0.313118187
Q8IYB7,DIS3L2,DIS3-like exonuclease 2,19.9375,20.0025,0.065,0.177900756
Q8WYQ5,DGCR8,Microprocessor complex subunit DGCR8,17.8625,17.92,0.0575,0.348439781
Q15650,TRIP4,Activating signal cointegrator 1,19.9125,19.8775,-0.035,0.576606696
Q16401,PSMD5,26S proteasome non-ATPase regulatory subunit 5,22.36,22.405,0.045,0.375096596
P23381,WARS,"Tryptophan--tRNA ligase, cytoplasmic",25.245,25.1925,-0.0525,0.185278688
Q8NEJ9,NGDN,Neuroguidin,16.555,16.5325,-0.0225,0.623837665
O95619,YEATS4,YEATS domain-containing protein 4,19.365,19.4175,0.0525,0.098262228
O15305,PMM2,Phosphomannomutase 2,22.43,22.445,0.015,0.595410507
Q9NPI6,DCP1A,mRNA-decapping enzyme 1A,19.665,19.7425,0.0775,0.45349383
P50336,PPOX,Protoporphyrinogen oxidase,19.9175,19.96,0.0425,0.612998098
Q2PPJ7,RALGAPA2,Ral GTPase-activating protein subunit alpha-2,21.48,21.535,0.055,0.386394966
Q8NC51,SERBP1,Plasminogen activator inhibitor 1 RNA-binding protein,24.3625,24.3775,0.015,0.586031111
Q9Y6A5,TACC3,Transforming acidic coiled-coil-containing protein 3,20.245,20.3025,0.0575,0.328527815
Q15773,MLF2,Myeloid leukemia factor 2,18.6025,18.6425,0.04,0.756067482
P51572,BCAP31,B-cell receptor-associated protein 31,25.1825,25.16,-0.0225,0.573042289
Q15269,PWP2,Periodic tryptophan protein 2 homolog,18.7725,18.82,0.0475,0.270085131
P20290,BTF3,Transcription factor BTF3,22.645,22.6175,-0.0275,0.486309578
Q9P032,NDUFAF4,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 4,20.6075,20.6775,0.07,0.447040224
P61221,ABCE1,ATP-binding cassette sub-family E member 1,22.96,22.94,-0.02,0.399441224
Q03154,ACY1,Aminoacylase-1,18.5175,18.5425,0.025,0.126514593
Q15819,UBE2V2,Ubiquitin-conjugating enzyme E2 variant 2,21.9775,21.93,-0.0475,0.380027268
O00625,PIR,Pirin,20.1925,20.2275,0.035,0.451221327
P22033,MUT,"Methylmalonyl-CoA mutase, mitochondrial",20.215,20.2975,0.0825,0.092180235
O75934,BCAS2,Pre-mRNA-splicing factor SPF27,21.0925,21.16,0.0675,0.411150599
O95644,NFATC1,"Nuclear factor of activated T-cells, cytoplasmic 1",19.5575,19.6125,0.055,0.035081515
O60476,MAN1A2,"Mannosyl-oligosaccharide 1,2-alpha-mannosidase IB",17.6525,17.695,0.0425,0.348936049
Q9Y3E7,CHMP3,Charged multivesicular body protein 3,20.3975,20.3525,-0.045,0.429604646
Q9NZN8,CNOT2,CCR4-NOT transcription complex subunit 2,19.85,19.9,0.05,0.542124933
P80217,IFI35,Interferon-induced 35 kDa protein,22.18,22.205,0.025,0.341576
Q9UNN5,FAF1,FAS-associated factor 1,20.2225,20.2725,0.05,0.422826262
P27448,MARK3,MAP/microtubule affinity-regulating kinase 3,20.2675,20.315,0.0475,0.112645996
O60701,UGDH,UDP-glucose 6-dehydrogenase,21.2225,21.2375,0.015,0.318931792
Q9UM07,PADI4,Protein-arginine deiminase type-4,22.605,22.645,0.04,0.627595279
P05166,PCCB,"Propionyl-CoA carboxylase beta chain, mitochondrial",18.9,19.005,0.105,0.201272774
Q05D32,CTDSPL2,CTD small phosphatase-like protein 2,18.625,18.6725,0.0475,0.179033858
P16435,POR,NADPH--cytochrome P450 reductase,23.915,23.9,-0.015,0.699029609
P20701,ITGAL,Integrin alpha-L,23.81,23.795,-0.015,0.102728079
Q9Y5X2,SNX8,Sorting nexin-8,20.8375,20.8475,0.01,0.353387466
Q00169,PITPNA,Phosphatidylinositol transfer protein alpha isoform,23.6625,23.6825,0.02,0.626094586
Q5JRA6,MIA3,Melanoma inhibitory activity protein 3,22.2575,22.275,0.0175,0.679385566
Q16186,ADRM1,Proteasomal ubiquitin receptor ADRM1,21.5375,21.5475,0.01,0.86414468
Q07820,MCL1,Induced myeloid leukemia cell differentiation protein Mcl-1,18.3275,18.4,0.0725,0.255385829
Q8N264,ARHGAP24,Rho GTPase-activating protein 24,17.99,18.04,0.05,0.723599498
